ID,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Management Unit,Peak Biomass Date,Survey Type,Monitoring Type,Industry Survey Date,Industry Results,DFO Survey Date,DFO Results,outcomeid,Outcome,Comments
87,7054,Marine Harvest Canada,Wanx Talis,50.89322,-127.89568,Port Hardy,05-08-2018,Peak biomass,Sediment monitoring,25-07-2018,All sediment sampling stations had acceptable levels of chemical impact,11-09-2018,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
88,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,Discovery Islands,04-04-2017,Peak biomass,Sediment monitoring,12-04-2017,All sediment sampling stations had acceptable levels of chemical impact,25-04-2017,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
89,380,MOWI Canada West,Sonora Point,50.42362,-125.30517,Discovery Islands,07-04-2019,Peak biomass,Visual monitoring,17-04-2019,All transect videos showed acceptable levels of visual indicators of impact,04-06-2019,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
90,233,Creative Salmon Company,Indian Bay,49.11916,-125.72549,Clayoquot Sound,20-07-2019,Peak biomass,Sediment monitoring,30-07-2019,All sediment sampling stations had acceptable levels of chemical impact,18-06-2019,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
91,1136,MOWI Canada West,Shaw Point,50.48527,-125.88981,Discovery Islands,n/a,Biennial,Sediment monitoring,19-07-2018,All sediment sampling stations had acceptable levels of chemical impact,02-07-2019,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,No peak biomass date since fish cultivated continuously at the facility
92,1382,MOWI Canada West,Robertson,50.93155,-127.42258,Port Hardy,29-10-2019,Peak biomass,Sediment monitoring,12-11-2019,All sediment sampling stations had acceptable levels of chemical impact,03-07-2019,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
93,831,MOWI Canada West,Shelter Pass,50.88414,-127.5004,Port Hardy,20-04-2019,Peak biomass,Sediment monitoring,15-05-2019,All sediment sampling stations had acceptable levels of chemical impact,04-07-2019,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
94,1336,Cermaq Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,27-06-2019,Peak biomass,Visual monitoring,22-07-2019,All transect videos showed acceptable levels of visual indicators of impact,12-08-2019,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
95,7273,Grieg Seafood BC,Tsa-ya,50.61225,-126.33212,Broughton Archipelago,12-08-2019,Peak biomass,Sediment monitoring,22-08-2019,1 of 4 sediment sampling stations had chemical changes to the seabed which require additional monitoring,14-08-2019,2 of 8 sediment sampling stations had chemical changes to the seabed which require additional monitoring,1,There is agreement between DFO and industry results,n/a
96,1839,Grieg Seafood BC,Wa-kwa,50.60106,-126.34741,Broughton Archipelago,23-07-2019,Peak biomass,Sediment monitoring,13-08-2019,All sediment sampling stations had acceptable levels of chemical impact,15-08-2019,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
97,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Broughton Archipelago,17-07-2019,Peak biomass,Sediment monitoring,13-08-2019,All sediment sampling stations had acceptable levels of chemical impact,16-08-2019,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
98,1300,MOWI Canada West,Althorpe,50.47531,-125.80975,Discovery Islands,07-09-2019,Peak biomass,Sediment monitoring,20-09-2019,4 of 8 sediment sampling stations had chemical changes to the seabed which require additional monitoring,23-09-2019,All sediment sampling stations had acceptable levels of chemical impact,0,"There is disagreement between DFO and industry results.  When this occurs, DFO results are used.",n/a
99,465,MOWI Canada West,Swanson,50.61871,-126.70473,Broughton Archipelago,31-12-2019,Peak biomass,Sediment monitoring,20-01-2020,All sediment sampling stations had acceptable levels of chemical impact,24-09-2019,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
100,1586,MOWI Canada West,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,19-10-2019,Peak biomass,Sediment monitoring,29-10-2019,All sediment sampling stations had acceptable levels of chemical impact,22-10-2019,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling occurred at only 2 of 4 monitoring stations
101,820,MOWI Canada West,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,09-12-2019,Peak biomass,Sediment monitoring; Visual monitoring,04-12-2019,All sediment sampling stations had acceptable levels of chemical impact; All transect videos showed acceptable levels of visual indicators of impact,07-11-2019,All sediment sampling stations had acceptable levels of chemical impact; All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
102,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,31-01-2020,Peak Biomass,Visual monitoring,23-01-2020,All transect videos showed acceptable levels of visual indicators of impact,06-02-2020,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
103,1849,Grieg Seafood BC,Muchalat North,49.64394,-126.33953,Nootka Sound,08-01-2020,Peak Biomass,Visual monitoring,08-01-2020,All transect videos showed acceptable levels of visual indicators of impact,06-02-2020,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,DFO sampling occurred at only 1 of 2 monitoring stations
104,1738,Grieg Seafood BC,Atrevida,49.65603,-126.45404,Nootka Sound,01-04-2020,Peak Biomass,Sediment monitoring,25-02-2020,Three of four sediment sampling stations had chemical changes to the seabed which require additional monitoring,11-03-2020,Three of four sediment sampling stations had chemical changes to the seabed which require additional monitoring,1,There is agreement between DFO and industry results,n/a
105,1762,Grieg Seafood BC,Gore,49.6466,-126.43167,Nootka Sound,12-05-2020,Peak Biomass,Sediment monitoring,27-04-2020,All sediment sampling stations had acceptable levels of chemical impact,12-03-2020,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
106,306,Cermaq Canada,Venture Point,50.30241,-125.33778,Discovery Islands,13-06-2020,Peak Biomass,Sediment monitoring,30-06-2020,All sediment sampling stations had acceptable levels of chemical impact,28-07-2020,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
107,1136,MOWI Canada West,Shaw Point,50.48527,-125.88981,Discovery Islands,n/a,Biennial,Sediment monitoring,01-09-2020,All sediment sampling stations had acceptable levels of chemical impact,29-07-2020,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling occurred at only 4 of 8 monitoring stations; No peak biomass date since fish culivated continously at the facility
108,871,Grieg Seafood BC,Barnes Bay,50.32437,-125.26039,Discovery Islands,29-06-2020,Peak Biomass,Sediment monitoring; Visual monitoring,29-07-2020,All sediment sampling stations had acceptable chemical changes to the seabed; All transect videos showed acceptable levels of visual indicators of impact,30-07-2020,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling included sediment monitoring only; DFO sampling did not occur within 30 days of peak biomass date
109,527,Cermaq Canada,Saranac Island,49.24803,-125.90671,Clayoquot Sound,15-08-2020,Peak Biomass,Sediment monitoring,23-07-2020,All sediment sampling stations had acceptable chemical changes to the seabed,25-08-2020,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
110,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,08-08-2020,Peak Biomass,Sediment monitoring,24-08-2020,All sediment sampling stations had acceptable chemical changes to the seabed,28-08-2020,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling occurred at only 2 of 4 monitoring stations
111,380,MOWI Canada West,Sonora Point,50.42362,-125.30517,Discovery Islands,08-08-2020,Peak Biomass,Visual monitoring,12-08-2020,All transect videos showed acceptable levels of visual indicators of impact,08-09-2020,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
112,1618,MOWI Canada West,Humphrey Rock,50.69682,-126.25532,Broughton Archipelago,12-10-2020,Peak Biomass,Sediment monitoring,24-09-2020,All sediment sampling stations had acceptable chemical changes to the seabed,10-09-2020,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
113,1351,MOWI Canada West,Marsh Bay,50.90567,-127.34239,Port Hardy,23-08-2020,Peak Biomass,Sediment monitoring,15-09-2020,All sediment sampling stations had acceptable chemical changes to the seabed,16-09-2020,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling occurred at only 4 of 8 monitoring stations
114,143,MOWI Canada West,Larsen Island,50.60175,-126.63284,Broughton Archipelago,10-07-2021,Peak Biomass,Sediment monitoring,23-06-2021,All sediment sampling stations had acceptable levels of chemical impact,21-06-2021,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling occurred at only 2 of 4 monitoring stations
115,141,MOWI Canada West,Port Elizabeth,50.67099,-126.47653,Broughton Archipelago,17-06-2021,Peak Biomass,Sediment monitoring,22-06-2021,All sediment sampling stations had acceptable levels of chemical impact,22-06-2021,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling occurred at only 2 of 4 monitoring stations
116,1335,Cermaq Canada,Wehlis Bay,50.8641,-126.92374,Broughton Archipelago,18-06-2021,Peak Biomass,Visual monitoring,22-06-2021,All transect videos showed acceptable levels of visual indicators of impact,24-06-2021,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
117,1862,Grieg Seafood BC,Hecate,49.86799,-126.7573,Esperanza Inlet,n/a,Pre-stock,Visual monitoring,03-08-2021,All transect videos showed acceptable levels of visual indicators of impact,20-07-2021,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
118,1336,Cermaq Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,16-07-2021,Peak Biomass,Visual monitoring,12-08-2021,All transect videos showed acceptable levels of visual indicators of impact,16-08-2021,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
119,1586,MOWI Canada West,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,03-09-2021,Peak Biomass,Sediment monitoring,21-09-2021,All sediment sampling stations had acceptable levels of chemical impact,17-08-2021,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling occurred at only 3 of 4 monitoring stations
120,1839,Grieg Seafood BC,Wa-kwa,50.60106,-126.34741,Broughton Archipelago,21-08-2021,Peak Biomass,Sediment monitoring,27-07-2021,All sediment sampling stations had acceptable levels of chemical impact,18-08-2021,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
121,7273,Grieg Seafood BC,Tsa-ya,50.61225,-126.33212,Broughton Archipelago,20-07-2021,Peak Biomass,Sediment monitoring,05-08-2021,All sediment sampling stations had acceptable levels of chemical impact,19-08-2021,1 of 2 sediment sampling stations had chemical changes to the seabed which require additional monitoring,0,"There is disagreement between DFO and industry results.  When this occurs, DFO results are used.",DFO sampling occurred at only 2 of 4 monitoring stations
122,1300,MOWI Canada West,Althorpe,50.47531,-125.80975,Sunderland Channel,28-08-2021,Peak Biomass,Sediment monitoring,09-09-2021,All sediment sampling stations had acceptable levels of chemical impact,13-09-2021,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling occurred at only 5 of 8 monitoring stations
123,820,MOWI Canada West,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,19-09-2021,Peak Biomass,Sediment monitoring; Visual monitoring,13-10-2021,All sediment sampling stations had acceptable levels of chemical impact; All transect videos showed acceptable levels of visual indicators of impact,15-09-2021,All sediment sampling stations had acceptable levels of chemical impact; All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
124,1293,MOWI Canada West,Duncan Island,50.8195,-127.55568,Port Hardy,21-08-2021,Peak Biomass,Visual monitoring,14-09-2021,All transect videos showed acceptable levels of visual indicators of impact,16-09-2021,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
125,112,Golden Eagle Sable Fish,Centre Cove,50.01736,-127.19165,Kyuquot Sound,n/a,Biennial ,Sediment monitoring; Visual monitoring,05-10-2021,All sediment sampling stations had acceptable levels of chemical impact; All transect videos showed acceptable levels of visual indicators of impact,28-09-2021,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,DFO sampling included visual monitoring only; no peak biomass date since fish culivated continously at the facility
126,1554,Golden Eagle Sable Fish,Charlie's Place,50.04149,-127.17617,Kyuquot Sound,n/a,Biennial ,Sediment monitoring; Visual monitoring,05-10-2021,All sediment sampling stations had acceptable levels of chemical impact; All transect videos showed acceptable levels of visual indicators of impact,28-09-2021,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,DFO sampling included visual monitoring only; no peak biomass date since fish culivated continously at the facility
127,526,Cermaq Canada,Rant Point,49.2567,-125.84153,Clayoquot Sound,06-02-2022,Peak Biomass,Sediment monitoring,08-02-2022,All sediment sampling stations had acceptable levels of chemical impact,08-12-2021,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
128,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Nootka Sound,12-06-2022,Peak Biomass,Sediment monitoring; Visual monitoring,13-06-2022,All sediment sampling stations had acceptable levels of chemical impact; All transect videos showed acceptable levels of visual indicators of impact,19-05-2022,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling included sediment monitoring only
129,1849,Grieg Seafood BC,Muchalat North,49.64394,-126.33953,Nootka Sound,n/a,Pre-stock,Visual monitoring,09-06-2022,All transect videos showed acceptable levels of visual indicators of impact,20-05-2022,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
130,1705,Grieg Seafood BC,Williamson,49.65623,-126.42849,Nootka Sound,n/a,Pre-stock,Visual monitoring,19-08-2022,All transect videos showed acceptable levels of visual indicators of impact,20-05-2022,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
131,1762,Grieg Seafood BC,Gore,49.6466,-126.43167,Nootka Sound,30-05-2022,Peak Biomass,Sediment monitoring,11-05-2022,All sediment sampling stations had acceptable levels of chemical impact,24-05-2022,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
132,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,13-08-2022,Peak Biomass,Visual monitoring,02-08-2022,All transect videos showed acceptable levels of visual indicators of impact,20-06-2022,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
133,746,Grieg Seafood BC,Site 13,49.6291,-123.84265,Sunshine Coast,28-06-2022,Peak Biomass,Visual monitoring,25-08-2022,All transect videos showed acceptable levels of visual indicators of impact,21-06-2022,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
134,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast,28-06-2022,Peak Biomass,Visual monitoring,11-08-2022,All transect videos showed acceptable levels of visual indicators of impact,22-06-2022,All transect videos showed acceptable levels of visual indicators of impact,1,There is agreement between DFO and industry results,n/a
135,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,13-06-2022,Peak Biomass,Sediment monitoring,11-08-2022,All sediment sampling stations had acceptable levels of chemical impact,23-06-2022,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
136,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,02-07-2022,Peak Biomass,Sediment monitoring,21-07-2022,All sediment sampling stations had acceptable levels of chemical impact,16-08-2022,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling occurred at only 3 of 4 monitoring stations; DFO sampling did not occur within 30 days of peak biomass date
137,543,Cermaq Canada,Mussel Rock,49.25925,-125.86762,Clayoquot Sound,08-07-2022,Peak Biomass,Sediment monitoring,12-07-2022,All sediment sampling stations had acceptable levels of chemical impact,23-08-2022,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,DFO sampling did not occur within 30 days of peak biomass date
138,227,Cermaq Canada,Bawden,49.30798,-126.00721,Clayoquot Sound,n/a,Pre-stock,Sediment monitoring,06-12-2022,All sediment sampling stations had acceptable levels of chemical impact,16-12-2022,All sediment sampling stations had acceptable levels of chemical impact,1,There is agreement between DFO and industry results,n/a
