Audit Date,Facility Reference Number,Licence Holder,Site Common Name,Latitude,Longitude,Finfish Aquaculture Management Unit,Species,Number of carcasses assessed,IHNV positive PCR results (Y/N),IPNV positive results (Y/N),ISAV positive results (Y/N),VHSV positive results (Y/N),SAV positive results (Y/N),PRSal positive results (Y/N),PMCV positive results (Y/N),Bacterial pathogens isolated by culture (number of fish),Histologic diagnosis (number of fish),Veterinary diagnosis,Conditions of Note (number of fish)
13-12-2013,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Discovery Islands,Chinook salmon (Oncorhynchus tshawytcha),5,N,N,N,N,N,N,n/a,Vibrio ordalii (1); Aliivibrio sifiae (1); Psychrobacter sp. (1),Microsporidial encephalitis (2),Microsporidial Gill Disease; Vibriosis; Bacterial Kidney Disease,n/a
20-01-2014,304,Cermaq Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Atlantic salmon (Salmo salar),9,N,N,N,N,N,N,n/a,Moritella viscosa (1),Ulcerative dermatitis (2); Ulcerative stomatitis (1),Mouth rot; Winter ulcer,"Cardiomyopathy (2), Net Pen Liver Disease (2) "
20-01-2014,306,Cermaq Canada,Venture Point,50.30241,-125.33778,Discovery Islands,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
23-01-2014,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Esperanza Inlet,Atlantic salmon (Salmo salar),11,N,N,N,N,N,N,n/a,n/a,Ulcerative dermatitis (3),No disease that is significant at the population level,n/a
24-01-2014,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Nootka Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,Ulcerative dermatitis (1); Microsporidial encephalitis (2),No mortaltiy that is significant at the population level,Net Pen Liver Disease (1)
03-02-2014,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.5681,Broughton Archipelago,Atlantic salmon (Salmo salar),12,N,N,N,N,N,N,n/a,Moritella viscosa (1),Ulcerative dermatitis (3); Ulcerative stomatitis (4),Winter ulcer,n/a
04-02-2014,143,Marine Harvest Canada,Larsen Island,50.60175,-126.63284,Broughton Archipelago,Atlantic salmon (Salmo salar),8,N,N,N,N,N,N,n/a,n/a,Ulcerative stomatitis (3),Mouth rot,n/a
04-02-2014,1144,Cermaq Canada,Burdwood,50.7969,-126.49581,Broughton Archipelago,Atlantic salmon (Salmo salar),8,N,N,N,N,N,N,n/a,Moritella viscosa (1),Ulcerative dermatitis (2),Winter ulcer,n/a
05-02-2014,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Broughton Archipelago,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
06-02-2014,1351,Marine Harvest Canada,Marsh Bay,50.90567,-127.34239,Port Hardy,Atlantic salmon (Salmo salar),1,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
07-02-2014,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Broughton Archipelago,Atlantic salmon (Salmo salar),8,N,N,N,N,N,N,n/a,Moritella viscosa (1),Ulcerative dermatitis (1),No disease that is significant at the population level,n/a
13-02-2014,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,Ulcerative dermatitis (1); Mouth rot (6),No disease that is significant at the population level,n/a
13-02-2014,1697,Grieg Seafood BC,Culloden,49.79595,-124.10162,Sunshine Coast,Coho salmon (Oncorhynchus kisutch),1,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
18-02-2014,1338,Marine Harvest Canada,Mahatta East,50.474562,-127.787808,Quatsino Sound,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
18-02-2014,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
18-02-2014,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,Atlantic salmon (Salmo salar),7,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
03-03-2014,6668,Cermaq Canada,Plover Point,49.21433,-125.76693,Clayoquot Sound,Atlantic salmon (Salmo salar),7,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
04-03-2014,314,Cermaq Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,N,N,n/a,Moritella viscosa (2),Winter ulcer (presumptive diagnosis) (2),No disease that is significant at the population level,n/a
04-03-2014,234,Cermaq Canada,Dixon Bay,49.40478,-126.15072,Clayoquot Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,Microsporidial encephalitis (2); Netpen liver disease (4),No disease causing significant mortality,Net Pen Liver Disease (4)
05-03-2014,540,Cermaq Canada,Fortune Channel,49.23503,-125.75174,Clayoquot Sound,Atlantic salmon (Salmo salar),7,N,N,N,N,N,N,n/a,n/a,Ulcerative stomatitis (3),No disease that is significant at the population level,Cardiomyopathy (1)
05-03-2014,543,Cermaq Canada,Mussel Rock,49.25925,-125.86762,Clayoquot Sound,Atlantic salmon (Salmo salar),5,N,N,N,N,N,Y,n/a,n/a,SRS with Piscirickettsia-like bacteria (1) ,No disease that is significant at the population level,n/a
05-03-2014,1472,Cermaq Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Atlantic salmon (Salmo salar),6,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
06-03-2014,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),12,N,N,N,N,N,N,n/a,n/a,Jaundice syndrome (3),No disease that is significant at the population level,n/a
06-03-2014,1419,Creative Salmon Company,McCall Islets,49.14146,-125.73122,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),9,N,N,N,N,N,N,n/a,n/a,BKD with Renibacterium-like bacteria (2),Open: no known cause of low level mortality,n/a
11-03-2014,211,Marine Harvest Canada,Okisollo,50.30946,-125.31618,Discovery Islands,Atlantic salmon (Salmo salar),2,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
20-03-2014,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast,Coho salmon (Oncorhynchus kisutch),3,N,N,N,N,N,N,n/a,n/a,Branchitis with Loma-like microsporidia (1),No disease that is significant at the population level,n/a
20-03-2014,412,Grieg Seafood BC,Site 9,49.64612,-123.72455,Sunshine Coast,Coho salmon (Oncorhynchus kisutch),2,N,N,N,N,N,N,n/a,n/a,Ulcerative stomatitis (1); Gill lesions of unknown cause (1),No disease that is significant at the population level,n/a
21-03-2014,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Discovery Islands,Chinook salmon (Oncorhynchus tshawytcha),5,N,N,N,N,N,N,n/a,n/a,BKD with Renibacterium-like bacteria (2),Bacterial Kidney Disease,n/a
08-04-2014,1581,Marine Harvest Canada,Hardwicke,50.41339,-125.76974,Discovery Islands,Atlantic salmon (Salmo salar),3,N,N,N,N,N,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),No disease that is significant at the population level,n/a
10-04-2014,1789,Grieg Seafood BC,Concepcion,49.65923,-126.47587,Nootka Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,N,N,n/a,n/a,Microsporidial encephalitis (2),No disease that is significant at the population level,Gill lesions of unknown cause (2)
28-04-2014,739,Marine Harvest Canada,Upper Retreat,50.72183,-126.5681,Broughton Archipelago,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,Ulcerative dermatitis (2); Ulcerative stomatitis (4),No disease that is significant at the population level,n/a
30-04-2014,1144,Cermaq Canada,Burdwood,50.7969,-126.49581,Broughton Archipelago,Atlantic salmon (Salmo salar),8,N,N,N,N,N,N,n/a,n/a,Microsporidial encephalitis (1); Unidentified myxozoan infection (1),No disease that is significant at the population level,n/a
30-04-2014,728,Cermaq Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,Atlantic salmon (Salmo salar),12,N,N,N,Y,N,N,n/a,n/a,Ulcerative stomatitis (6),No disease that is significant at the population level,n/a
01-05-2014,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Broughton Archipelago,Atlantic salmon (Salmo salar),4,N,N,N,Y,N,N,n/a,n/a,VHS (1),No disease that is significant at the population level,n/a
01-05-2014,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Broughton Archipelago,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
02-05-2014,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Broughton Archipelago,Atlantic salmon (Salmo salar),2,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
12-05-2014,1336,Cermaq Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,Atlantic salmon (Salmo salar),11,N,N,N,N,N,N,n/a,n/a,Ulcerative dermatitis (1),Winter ulcer,n/a
13-05-2014,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,Ulcerative dermatitis (1); BKD with Renibacterium-like bacteria (5),Bacterial Kidney Disease,n/a
13-05-2014,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.5004,Port Hardy,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,Ulcerative stomatitis (5),Mouth rot,n/a
14-05-2014,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Central Coast,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,n/a,Ulcerative stomatitis (3),No disease that is significant at the population level,n/a
14-05-2014,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.4199,Central Coast,Atlantic salmon (Salmo salar),6,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
15-05-2014,1238,Marine Harvest Canada,Mahatta West,50.4691416,-127.835771,Quatsino Sound,Atlantic salmon (Salmo salar),12,N,N,N,N,N,N,n/a,n/a,Ulcerative stomatitis (2),Mouth rot,n/a
16-05-2014,1237,Marine Harvest Canada,Monday Rocks,50.485621,-127.8761792,Quatsino Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,N,N,n/a,n/a,BKD with Renibacterium-like bacteria (3),No disease that is significant at the population level,n/a
16-05-2014,144,Marine Harvest Canada,Koskimo,50.45861,-127.88988,Quatsino Sound,Atlantic salmon (Salmo salar),1,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
29-05-2014,221,Grieg Seafood BC,Vantage,49.67226,-123.86019,Sunshine Coast,Coho salmon (Oncorhynchus kisutch),4,N,N,N,N,N,N,n/a,n/a,BKD with Renibacterium-like bacteria (2),No disease that is significant at the population level,n/a
29-05-2014,412,Grieg Seafood BC,Site 9,49.64612,-123.72455,Sunshine Coast,Chinook salmon (Oncorhynchus tshawytcha),2,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
29-05-2014,746,Grieg Seafood BC,Site 13,49.6291,-123.84265,Sunshine Coast,Chinook salmon (Oncorhynchus tshawytcha),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
02-06-2014,227,Cermaq Canada,Bawden,49.30798,-126.00721,Clayoquot Sound,Atlantic salmon (Salmo salar),12,N,N,N,N,N,N,n/a,n/a,Microsporidial encephalitis (1),No disease that is significant at the population level,n/a
02-06-2014,1507,Cermaq Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,n/a,Microsporidial encephalitis (1),No mortality that is significant at the population level,n/a
03-06-2014,314,Cermaq Canada,Ross Pass,49.32437,-126.04849,Clayoquot Sound,Atlantic salmon (Salmo salar),12,N,N,N,N,N,N,n/a,n/a,n/a,Open. elevated mortality possibly associated with lower dissolved oxygen,n/a
04-06-2014,1472,Cermaq Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,n/a,Low level mortality associated with handling and plankton,Cardiomyopathy (2)
04-06-2014,1291,Cermaq Canada,McIntyre Lake,49.30557,-125.81583,Clayoquot Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
05-06-2014,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),1,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
05-06-2014,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),11,N,N,N,N,N,N,n/a,n/a,n/a,Open: no known cause of low level mortality,n/a
12-06-2014,211,Marine Harvest Canada,Okisollo,50.30946,-125.31618,Discovery Islands,Atlantic salmon (Salmo salar),4,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
12-06-2014,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,Atlantic salmon (Salmo salar),4,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
16-06-2014,304,Cermaq Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Atlantic salmon (Salmo salar),6,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
24-06-2014,1698,Grieg Seafood BC,Ahlstrom,49.7793,-124.15395,Sunshine Coast,Atlantic salmon (Salmo salar),4,N,N,N,N,N,N,n/a,n/a,n/a,Mouth rot,n/a
07-07-2014,306,Cermaq Canada,Venture Point,50.30241,-125.33778,Discovery Islands,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),No disease that is significant at the population level,n/a
07-07-2014,1401,Cermaq Canada,Brent Island,50.28613,-125.34917,Discovery Islands,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
17-07-2014,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Esperanza Inlet,Atlantic salmon (Salmo salar),1,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
17-07-2014,1079,Grieg Seafood BC,Steamer,49.8868,-126.7911,Esperanza Inlet,Atlantic salmon (Salmo salar),6,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
18-07-2014,1849,Grieg Seafood BC,Muchalat North,49.64394,-126.33953,Nootka Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,n/a,No mortality that is significant at the population level,Chronic liver disease (1)
24-07-2014,412,Grieg Seafood BC,Site 9,49.64612,-123.72455,Sunshine Coast,Chinook salmon (Oncorhynchus tshawytcha),6,N,N,N,N,N,N,n/a,Vibrio ordalii (1),n/a,No disease that is significant at the population level,Gill lesions of unknown cause (1)
25-07-2014,216,Yellow Island Aquaculture,Yellow Island,50.13274,-125.33268,Discovery Islands,Chinook salmon (Oncorhynchus tshawytcha),4,N,N,N,N,N,N,n/a,n/a,BKD with Renibacterium-like bacteria (1),No disease that is significant at the population level,n/a
12-08-2014,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,Atlantic salmon (Salmo salar),4,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
13-08-2014,1618,Marine Harvest Canada,Humphrey Rock,50.69682,-126.25532,Broughton Archipelago,Atlantic salmon (Salmo salar),8,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
13-08-2014,1059,Marine Harvest Canada,Sargeaunt Pass,50.67346,-126.18595,Broughton Archipelago,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
13-08-2014,728,Cermaq Canada,Sir Edmund Bay,50.83096,-126.59684,Broughton Archipelago,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
14-08-2014,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Broughton Archipelago,Atlantic salmon (Salmo salar),9,N,N,N,N,N,N,n/a,n/a,Microsporidial encephalitis (1),No disease that is significant at the population level,n/a
14-08-2014,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Atlantic salmon (Salmo salar),12,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
25-08-2014,1350,Marine Harvest Canada,Shelter Bay,50.96555,-127.45345,Port Hardy,Atlantic salmon (Salmo salar),9,N,N,N,N,N,N,n/a,n/a,n/a,Low level mortality associated with environmental conditions,n/a
26-08-2014,831,Marine Harvest Canada,Shelter Pass,50.88414,-127.5004,Port Hardy,Atlantic salmon (Salmo salar),6,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,Pigmented fungal infection (1)
26-08-2014,892,Marine Harvest Canada,Bell Island,50.83242,-127.52057,Port Hardy,Atlantic salmon (Salmo salar),12,N,N,N,N,N,N,n/a,n/a,Ulcerative stomatitis (2),Mouth rot,n/a
27-08-2014,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.4199,Central Coast,Atlantic salmon (Salmo salar),6,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
27-08-2014,1580,Marine Harvest Canada,Jackson Pass,52.53727,-128.40286,Central Coast,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
28-08-2014,1238,Marine Harvest Canada,Mahatta West,50.4691416,-127.835771,Quatsino Sound,Atlantic salmon (Salmo salar),1,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
28-08-2014,1338,Marine Harvest Canada,Mahatta East,50.474562,-127.787808,Quatsino Sound,Atlantic salmon (Salmo salar),9,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
02-09-2014,380,Marine Harvest Canada,Sonora Point,50.42362,-125.30517,Discovery Islands,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
04-09-2014,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,Discovery Islands,Atlantic salmon (Salmo salar),1,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
05-09-2014,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,Discovery Islands,Atlantic salmon (Salmo salar),3,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
15-09-2014,227,Cermaq Canada,Bawden,49.30798,-126.00721,Clayoquot Sound,Atlantic salmon (Salmo salar),12,N,N,N,N,N,Y,n/a,n/a,n/a,No disease that is significant at the population level,n/a
16-09-2014,6668,Cermaq Canada,Plover Point,49.21433,-125.76693,Clayoquot Sound,Atlantic salmon (Salmo salar),12,N,N,N,N,N,Y,n/a,n/a,n/a,Low level mortality associated with environmental conditions,n/a
16-09-2014,526,Cermaq Canada,Rant Point,49.2567,-125.84153,Clayoquot Sound,Atlantic salmon (Salmo salar),12,N,N,N,N,N,Y,n/a,n/a,Ulcerative stomatitis (2); SRS with Piscirickettsia-like bacteria (6),No disease that is significant at the population level,n/a
17-09-2014,1537,Cermaq Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,n/a,Low level mortality associated with environmental conditions,n/a
17-09-2014,1472,Cermaq Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,N,Y,n/a,n/a,SRS with Piscirickettsia-like bacteria (3),Open: extent of infectious disease is limited,n/a
18-09-2014,1596,Creative Salmon Company,Dawley Pass,49.16641,-125.7686,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),7,N,N,N,N,N,Y,n/a,n/a,Branchitis with Loma-like microsporidia (1); SRS with Piscirickettsia-like bacteria (3),No disease that is significant at the population level,n/a
18-09-2014,244,Creative Salmon Company,Eagle Bay,49.12945,-125.71093,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),2,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
02-10-2014,456,Saltstream Engineering,Doctor Bay,50.2521,-124.81957,Discovery Islands,Chinook salmon (Oncorhynchus tshawytcha),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortaltiy, no samples available",n/a
06-10-2014,304,Cermaq Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,n/a,Sphaerothecum destruens-like encephalitis (1),No disease that is significant at the population level,Pigmented fungal infection (1)
06-10-2014,306,Cermaq Canada,Venture Point,50.30241,-125.33778,Discovery Islands,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
08-10-2014,1700,Grieg Seafood BC,Muchalat South,49.64012,-126.32735,Nootka Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,Ulcerative stomatitis (2); Netpen liver disease (4),Netpen liver disease,n/a
09-10-2014,1079,Grieg Seafood BC,Steamer,49.8868,-126.7911,Esperanza Inlet,Atlantic salmon (Salmo salar),4,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,Cardiomyopathy (1)
09-10-2014,1863,Grieg Seafood BC,Esperanza,49.87814,-126.76145,Esperanza Inlet,Atlantic salmon (Salmo salar),1,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
14-10-2014,1336,Cermaq Canada,Simmonds Point,50.87791,-126.90153,Broughton Archipelago,Atlantic salmon (Salmo salar),2,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
15-10-2014,821,Marine Harvest Canada,Glacier Falls,50.84785,-126.31921,Broughton Archipelago,Atlantic salmon (Salmo salar),6,N,N,N,N,N,Y,n/a,n/a,Microsporidial encephalitis (1),No disease that is significant at the population level,n/a
15-10-2014,820,Marine Harvest Canada,Wicklow Point,50.78659,-126.69153,Broughton Archipelago,Atlantic salmon (Salmo salar),1,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
17-10-2014,1338,Marine Harvest Canada,Mahatta East,50.474562,-127.787808,Quatsino Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,N,N,n/a,n/a,N.perurans-like branchial amoeba (9),Amoebic Gill Disease,n/a
30-10-2014,332,Grieg Seafood BC,Salten,49.61535,-123.83407,Sunshine Coast,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,Yersinia ruckeri (1),Enteric redmouth disease (1),No disease that is significant at the population level,n/a
30-10-2014,408,Grieg Seafood BC,Kunechin,49.6339,-123.78337,Sunshine Coast,Coho salmon (Oncorhynchus kisutch),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No disease that is significant at the population level,n/a
06-11-2014,776,Creative Salmon Company,Baxter Islets,49.13299,-125.78289,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),7,N,N,N,N,N,Y,n/a,n/a,Branchitis with Loma-like microsporidia (3); SRS with Piscirickettsia-like bacteria (2),Salmonid Rickettsial Septicemia; Microsporidial Gill Disease,n/a
06-11-2014,1899,Creative Salmon Company,Warne Island,49.12815,-125.74923,Clayoquot Sound,Chinook salmon (Oncorhynchus tshawytcha),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortality, no samples available",n/a
12-11-2014,1702,Marine Harvest Canada,Goat Cove,52.78726,-128.4199,Central Coast,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,n/a,n/a,Low level mortality associated with environmental conditions,Net Pen Liver Disease (2)
12-11-2014,1895,Marine Harvest Canada,Sheep Passage,52.79609,-128.31093,Central Coast,Atlantic salmon (Salmo salar),7,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
13-11-2014,1586,Marine Harvest Canada,Doctor Islets,50.65373,-126.28925,Broughton Archipelago,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
13-11-2014,467,Marine Harvest Canada,Midsummer,50.65784,-126.66298,Broughton Archipelago,Atlantic salmon (Salmo salar),6,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
14-11-2014,1825,Grieg Seafood BC,Noo-la,50.60799,-126.36301,Broughton Archipelago,Atlantic salmon (Salmo salar),10,N,N,N,N,N,Y,n/a,n/a,n/a,No disease that is significant at the population level,n/a
04-12-2014,78,Marine Harvest Canada,Phillips Arm,50.48825,-125.35658,Discovery Islands,Atlantic salmon (Salmo salar),1,N,N,N,N,N,N,n/a,Yersinia ruckeri (1),n/a,No disease that is significant at the population level,n/a
04-12-2014,100,Marine Harvest Canada,Lees Bay,50.41063,-125.70029,Discovery Islands,Atlantic salmon (Salmo salar),2,N,N,N,N,N,N,n/a,n/a,n/a,No disease that is significant at the population level,n/a
11-12-2014,1291,Cermaq Canada,McIntyre Lake,49.30557,-125.81583,Clayoquot Sound,Atlantic salmon (Salmo salar),6,N,N,N,N,N,Y,n/a,n/a,SRS with Piscirickettsia-like bacteria (1); Netpen liver disease (1),No disease causing significant mortality,Net Pen Liver Disease (1)
11-12-2014,1472,Cermaq Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Atlantic salmon (Salmo salar),5,N,N,N,N,N,Y,n/a,n/a,SRS with Piscirickettsia-like bacteria (2),No disease that is significant at the population level,n/a
12-12-2014,1537,Cermaq Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Atlantic salmon (Salmo salar),2,N,N,N,N,N,N,n/a,n/a,Unidentified myxozoan infection (1),No mortality that is significant at the population level,n/a
16-01-2015,456,Saltstream Engineering,Doctor Bay,50.2521,-124.81957,Discovery Islands,Chinook salmon (Oncorhynchus tshawytcha),0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Very low mortaltiy, no samples available",n/a
26-01-2015,1507,Cermaq Canada,Millar Channel,49.37622,-126.09003,Clayoquot Sound,Atlantic salmon (Salmo salar),8,N,N,N,N,N,N,n/a,n/a,n/a,Mouth rot,n/a
26-01-2015,304,Cermaq Canada,Raza Island,50.32159,-125.00882,Discovery Islands,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,Moritella viscosa (1),Ulcerative dermatitis (1),No disease that is significant at the population level,n/a
27-01-2015,1537,Cermaq Canada,Bare Bluff,49.32702,-125.79902,Clayoquot Sound,Atlantic salmon (Salmo salar),5,N,N,N,N,N,N,n/a,n/a,n/a,No mortality that is significant at the population level,Net Pen Liver Disease (2)
27-01-2015,1472,Cermaq Canada,West Side,49.27928,-125.83065,Clayoquot Sound,Atlantic salmon (Salmo salar),10,N,N,N,N,N,Y,n/a,n/a,Sphaerothecum destruens-like encephalitis (1); SRS with Pisicirickettsia-like bacteria (4),Salmonid Rickettsial Septicaemia,n/a
